title,true,pred
New York prison break: DNA found in cabin,REAL,FAKE
Dem outcry on abortion measure they failed to notice threatens to stall anti-sex trafficking bill,REAL,FAKE
SHOCKER!!! Left Wing MSNBC commentator Chris Mathews has just endorsed Donald Trump for president,FAKE,REAL
Black faith is under attack: How to make sense of white supremacy’s Charleston crimes,REAL,FAKE
‘Are We Next?’,REAL,FAKE
Hillary Clinton: The Alt-Right Has 'Effectively Taken Over the Republican Party',REAL,FAKE
EU Approves Expansion of Electric Vehicle Charging Network,REAL,FAKE
'Blue and Brave': Illinois town rallies around police as search for officer's killer goes on,REAL,FAKE
The President Of The United States of America: Donald J. Trump,FAKE,REAL
"Democratic challengers launch attacks against Clinton, party leadership",REAL,FAKE
Expert: ISIL 'highly likely' to launch gas attack in London,REAL,FAKE
"To finish MLK's work, face up to racism (Opinion)",REAL,FAKE
Wisconsin primary: 5 things to watch,REAL,FAKE
"Airstrikes Move To Syria, Target More Than Just ISIS",REAL,FAKE
What we've forgotten about childhood disease risks,REAL,FAKE
"Families To Roof: 'I Forgive You, And Have Mercy On Your Soul'",REAL,FAKE
"DOJ: Guardsman, cousin charged with supporting ISIL",REAL,FAKE
Judge Blocks President Obama's Immigration Order,REAL,FAKE
Police Arrest 12 Suspected Of Helping Paris Gunmen,REAL,FAKE
October Shocker: FBI Has Explosive Information on Trump Conspiring With Putin,FAKE,REAL
Climate change: What you can do (Opinion),REAL,FAKE
Jury selection begins in Colorado theater shooting trial,REAL,FAKE
A Hindu Justice? Why Religion Matters for the High Court,REAL,FAKE
Trump ups the ante in Indiana,REAL,FAKE
Manhunt for escaped killers expands to Vermont,REAL,FAKE
Four ways to fix American politics,REAL,FAKE
"Paul Ryan’s big speaker hangup is reportedly his family. For a male lawmaker, that’s unusual.",REAL,FAKE
Unskewing Facebook will take all kinds: Column,REAL,FAKE
Conservative watchdog group accuses Democrats of illegally coordinating through voter data firm,REAL,FAKE
Why does ISIS keep making enemies?,REAL,FAKE
We don’t just need to see Trump’s taxes — we need a real medical report on him,REAL,FAKE
Kentucky governor: Electing Hillary Clinton may eventually lead to violence,REAL,FAKE
Huckabee: Planned Parenthood shooting is 'domestic terrorism',REAL,FAKE
Indonesia Builds Largest Mangrove Restoration Zone,REAL,FAKE
First take: A great jobs report for investors,REAL,FAKE
Obama's Remarks on 'Most Peaceful' World Ring Hollow in Dangerous Middle East,REAL,FAKE
'We the People' is at risk: Why America needs civics education,REAL,FAKE
The Reopening Of The Clinton Email Investigation Is More GOP Hype Over Nothing,FAKE,REAL
Will Trump's presidency change the way America views Russia?,FAKE,REAL
RNC Chair urges against changing convention rules before Cleveland,REAL,FAKE
Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,REAL,FAKE
Report: Obama Administration Makes 'No Progress' On Drone Program Transparency,REAL,FAKE
Obama administration announces halt on new coal leases,REAL,FAKE
“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win,REAL,FAKE
What happens if Clinton drops out?,REAL,FAKE
"Post-ABC poll finds tight presidential race, with mixed reaction to FBI’s review of Clinton’s emails",REAL,FAKE
Clinton takes the fight to Trump,REAL,FAKE
"Mike Brown anniversary: Arrests, state of emergency",REAL,FAKE
Clinton Foundation will continue to accept foreign money during Hillary's run,REAL,FAKE
3 Charlotte Area Counties Report Voting Machines Picking Wrong Candidates,FAKE,REAL
Kasich’s Ohio Win Pushes G.O.P. Race Closer to Chaotic Convention,REAL,FAKE
"Combat veterans face ‘cruel’ struggle to prove their service to VA, amid missing records",REAL,FAKE
9th baby dies after heart surgery at a Florida hospital,REAL,FAKE
Trump is The Lesser Evil Because Hes Such a Narcissist      :,FAKE,REAL
Exclusive: Hillary may delay campaign,REAL,FAKE
American politics has reached peak polarization,REAL,FAKE
Boehner: Democrats must 'get off their ass' on DHS bill,REAL,FAKE
Fiorina blames environmentalists for California drought,REAL,FAKE
"Copenhagen police shoot, kill man near train station",REAL,FAKE
Checking a claim that 'nobody did anything wrong' on Benghazi,REAL,FAKE
Trump Dedicates D.C. Hotel: 'The Future Lies With The Dreamers',FAKE,REAL
"Human remains suggest explosion brought down EgyptAir plane, forensics official says",REAL,FAKE
President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,FAKE,REAL
"Architect Of Paris Attacks Was Killed In Raid, French Authorities Say",REAL,FAKE
"Holder: Ferguson shooter 'disgusting,' 'punk'",REAL,FAKE
Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],FAKE,REAL
"Looking To 2015, Economists See 5 Reasons To Celebrate",REAL,FAKE
"Surviving escaped prisoner likely fatigued and prone to mistakes, police say",REAL,FAKE
Trump Tower Surrounded By Dump Trucks In Anticipation Of Violence,FAKE,REAL
"Iowa caucus results: Ted Cruz wins, Hillary Clinton declares victory",REAL,FAKE
Why we miss the unpolarizing Pat Moynihan,REAL,FAKE
Housing In 2015: Four Reasons For Optimism (And One For Worry),REAL,FAKE
Obama reportedly snubs NATO chief as Russia makes new threats against allies,REAL,FAKE
Clinton aide key focus in FBI server investigation,REAL,FAKE
Rick Santorum hopes 99-county Iowa tour leads to success,REAL,FAKE
Anxiety grows among GOP congressional staffers,FAKE,REAL
Trump advisors try to pivot not fishtail,REAL,FAKE
VA admits it has no contracts in place for billions of dollars spent on veterans’ medical care,REAL,FAKE
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),REAL,FAKE
"America Might Not Deserve Trump, But Dems and Hillary Deserved To Lose",FAKE,REAL
Desperate Obama RIPS Comey: 'We Don't Operate On Innuendo' | Daily Wire,FAKE,REAL
"No, it's not 'World War 3'",REAL,FAKE
Rural Nepal devastated by earthquake still awaits aid,REAL,FAKE
Bad idea: Shell’s gearing up to start drilling in the Arctic again,REAL,FAKE
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,FAKE,REAL
Reductress » ‘How Am I Supposed To Explain This To My Children?’ Asks Melania Trump,FAKE,REAL
Oklahoma Fraternity Is Closed Over Video Of Racist Chant,REAL,FAKE
Vatican Ends Scrutiny Of U.S. Nuns,REAL,FAKE
#MemeOfTheWeek: That Article From The Onion About Mass Shootings,REAL,FAKE
President Trump vs President Clinton … What Will Happen After Inauguration? | The Vineyard of the Saker,FAKE,REAL
Trump's Election Marks the End of Liberal Capitalism,FAKE,REAL
A bad night for front-runners and a good night for governors,REAL,FAKE
"Calif., Ore. allow women to get birth control without a prescription",REAL,FAKE
3 dead in Colorado Springs Planned Parenthood shooting,REAL,FAKE
Belgian police hunting 2 mystery bombers believed to have survived Brussels attacks,REAL,FAKE
FEC head under fire for women’s forum ‘stacked’ with Dems,REAL,FAKE
What immigration activists want from Hillary Clinton,REAL,FAKE
Does blood on shoe link suspect to Washington slayings?,REAL,FAKE
Here's why creating single-payer health care in America is so hard,REAL,FAKE
Afghan intelligence officials confirm death of Taliban leader Mullah Omar,REAL,FAKE
Trump Presidency Creates Mountains Of Salt From Butthurt Liberals,FAKE,REAL
"Donald Trump, a threat the Founding Fathers foresaw: He proves the need for the Electoral College — and is the best case for superdelegates",REAL,FAKE
"Freed Al Qaeda operative floated as part of prisoner swap, ex-diplomat says",REAL,FAKE
Turkey expands anti-Islamic State campaign,REAL,FAKE
President-Elect Donald Trump must ensure continued efforts toward a Palestinian state,FAKE,REAL
Will Clinton’s experience be a liability?,REAL,FAKE
Admit it: You love Tax Day! (Opinion),REAL,FAKE
Camden Yards briefly closed off as Freddie Gray protests intensify in Baltimore,REAL,FAKE
"Koch-backed network aims to spend nearly $1 billion ahead of 2016 elections, may engage in GOP primaries",REAL,FAKE
Hillary Clinton’s absurd Bernie smear: Why attacking him from the right on healthcare makes literally no sense at all,REAL,FAKE
Clinton's super PAC fundraising irks progressives,REAL,FAKE
Laura Bush hints she'd rather see Hillary as president,REAL,FAKE
Stranded in Yemen: Americans left to find own way out,REAL,FAKE
Scientists Confirm New Element Created in Laboratory,REAL,FAKE
Hillary Clinton should proactively set out ethics rules,REAL,FAKE
Hillary Clinton's first test,REAL,FAKE
"We must call him a terrorist: Dylann Roof, Fox News and the truth about why language matters",REAL,FAKE
McCain in toughest Senate fight of his life,REAL,FAKE
"'Basket of deplorables': For once, Hillary told the truth about what she really thinks",REAL,FAKE
"The Oregon militia standoff, explained",REAL,FAKE
Barack Obama Marks 50th Anniversary Of 'Bloody Sunday' With Powerful Speech In Selma,REAL,FAKE
Gary Johnson Avoids Typical Third-Party Fade; Best Polling Since Perot in ‘92,REAL,FAKE
"The affair allegations that derailed Kevin McCarthy's quest for the speakership, explained",REAL,FAKE
House passes extreme ban on abortion coverage,REAL,FAKE
Here's Why All These Political Cattle Calls Matter,REAL,FAKE
Clinton Camp in Damage-Control Mode Over 'Top Secret' Emails,REAL,FAKE
"Contests in South Carolina, Nevada to test the appeal of the outsiders",REAL,FAKE
WashPost Poll: Clinton Leads Trump by 4,REAL,FAKE
Elite conservative moneymen remain on sidelines,REAL,FAKE
Dems open convention without Wasserman Schultz,REAL,FAKE
Clinton campaign blames FBI director for loss to Trump,FAKE,REAL
The Man Who Will Not Bow to Fearmongering,REAL,FAKE
Ohio delegation blasts Mount McKinley name change,REAL,FAKE
"Comment on Entitled Customer Slams Restaurant On Yelp, What Happens Next Is Sheer Badassery by customize your own jerseys",FAKE,REAL
How climate change is spawning a new view of conservation,REAL,FAKE
Clinton Foundation received subpoena from State Department investigators,REAL,FAKE
"Clinton makes history, declares win in Democratic race",REAL,FAKE
US military: 'Reasonably certain' airstrike killed notorious ISIS militant 'Jihadi John',REAL,FAKE
Paris Tragedy Could Shake Up 2016 Race,REAL,FAKE
Charting a course for charter schools,REAL,FAKE
"Jordanian fighter jets strike hard at ISIS, pay tribute to murdered pilot",REAL,FAKE
IT BEGINS...,REAL,FAKE
SC Gov. Nikki Haley Announces She’s Voting For Donald Trump,FAKE,REAL
UK Expands National Cybersecurity Measures,REAL,FAKE
Feds Search Home in Mohammed Event Shooting,REAL,FAKE
How Workplace Injuries Are Adding To Income Inequality,REAL,FAKE
Researchers Build AI That Can Control Human Speech,FAKE,REAL
Bashar al-Assad is losing ground in Syria,REAL,FAKE
How Hillary Clinton could win,REAL,FAKE
Paul: Christie embraces Obamacare,REAL,FAKE
"Clinton Foundation: 'Yes, we made mistakes'",REAL,FAKE
Let’s Make 2016 the Last Endless American Election,REAL,FAKE
COP21: 'Never have the stakes been so high',REAL,FAKE
"Classified emails from Clinton aides kick-started FBI probe, candidate downplays controversy",REAL,FAKE
Glenn Reynolds: Don't be a sucker for socialism,REAL,FAKE
"74 children executed by ISIS for 'crimes' that include refusal to fast, report says",REAL,FAKE
'There are many instances’ of voter fraud: GOP VP candidate Pence,FAKE,REAL
Millennials Are More Racist Than They Think,REAL,FAKE
Hillary Clinton To Announce Presidential Bid On Sunday,REAL,FAKE
Japan Enhances Early Tsunami Warning Systems,REAL,FAKE
Scientists Develop Algorithm to Predict Volcanic Eruptions,REAL,FAKE
"Trump's economic team has a lot of billionaires, very few economic experts",REAL,FAKE
"Iraqis think the U.S. is in cahoots with the Islamic State, and it is hurting the war",REAL,FAKE
"Trump Haters Mow Down Signs, “Black Women for Trump” Make Them Famous",FAKE,REAL
Who Lost Iraq?,REAL,FAKE
4 students arrested for Calif. school shooting plot,REAL,FAKE
Momentum to bar Syrian refugees slows,REAL,FAKE
Clinton pivots left on immigration,REAL,FAKE
"U.S. Economy Added A Robust 292,000 Jobs In December",REAL,FAKE
Fault lines: GOP civil war deepens,REAL,FAKE
Scalia’s death comes just a month before the court’s biggest abortion case in years,REAL,FAKE
Is Obama preparing a parting shot on Israel? This President must not bind the next,FAKE,REAL
"U.S. is hitting Islamic State 'harder than ever,' Obama says",REAL,FAKE
Kasich Affirms Path to Legal Status for Undocumented Immigrants,REAL,FAKE
Bibi's victory is Kerry's defeat,REAL,FAKE
"HUFFPOLLSTER: Trump And Clinton Lead, But Iowa Polling Remains Volatile With A Week To Go",REAL,FAKE
It's National Health Care Decisions Day: Who will you designate?,REAL,FAKE
"Police in Belgium, France, and Germany make arrests in latest anti-terror raids",REAL,FAKE
This Republican senator visited a mosque to repudiate Donald Trump,REAL,FAKE
Obamacare Enrollees Anxiously Await Supreme Court Decision That Threatens Their Coverage,REAL,FAKE
Warring Senate and House Republicans see peacemaker in Ryan,REAL,FAKE
McCarthy drops out of speaker race as House asks: Who wants this job? (+video),REAL,FAKE
Superbug cases spur FDA warning on dirty medical scopes,REAL,FAKE
"VA Secretary Robert McDonald admits lying about Special Forces service, apologizes",REAL,FAKE
Man uses Trump victory as excuse to call ex-girlfriend,FAKE,REAL
Obama Will Address Hillary’s Email Scandal on First Ever ‘Fox News Sunday’,REAL,FAKE
Protester charged with shooting officers in Ferguson,REAL,FAKE
Hillary Clinton shatters $100M fundraising goal,REAL,FAKE
5 facts about consistent conservatives,REAL,FAKE
"Trump Caught Again, Ripping Off Kids Charity This time",FAKE,REAL
Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,FAKE,REAL
Clinton braces for Nevada nail-biter,REAL,FAKE
Mormon Church Backs LGBT Protection,REAL,FAKE
McConnell Promises 9/11 First Responders Will Get Healthcare Bill,REAL,FAKE
"At least 20 hostages dead in siege of hotel in Mali, official says",REAL,FAKE
"For Trump, a new ‘rigged’ system: The election itself",REAL,FAKE
Motive elusive in deadly San Bernardino rampage as FBI takes over probe,REAL,FAKE
Suspected terrorist attack on a free speech event in Copenhagen leaves one dead,REAL,FAKE
Hillary Clinton’s Countless Choices Could Hinge on 2016 Election,REAL,FAKE
Kevin MacDonald celebrates Trump’s Amazing Victory,FAKE,REAL
"Kurdish forces, backed by U.S. airstrikes, launch offensive in Iraq",REAL,FAKE
'Historic' climate deal in sight as nations parse final text,REAL,FAKE
Kentucky election could blot an Obamacare bright spot,REAL,FAKE
"This Election is Not About Trump, Its about a Giant Middle Finger to Washington DC.",FAKE,REAL
India Expands National Park to Protect Endangered Tigers,REAL,FAKE
Egyptian planes pound ISIS in Libya in revenge for mass beheadings of Christians,REAL,FAKE
"Pro-Trump, anti-Trump groups clash in San Diego",REAL,FAKE
Brian Williams Under Fire Over His Shifting Story Of Iraq Helicopter Attack,REAL,FAKE
"Even If You Hate Trump, What this Leftist Just Did Is VILE... | The Federalist Papers",FAKE,REAL
Democratic convention: passionate end to day one steadies early drama,REAL,FAKE
U.N. Climate Panel Warns Of Rapid Ice Melt,REAL,FAKE
The Supreme Court cannot hide on Obamacare,REAL,FAKE
Paul Ryan’s biggest early challenge: Finding a ‘routine’ as House speaker,REAL,FAKE
"University of Missouri, please immediately fire employees who taunted media",REAL,FAKE
BLACK TRUMP SUPPORTERS call Hillary Clinton a “racist”,FAKE,REAL
Parents Of American Woman Held By ISIS Say They Have Been Notified Of Her Death,REAL,FAKE
A sharp exchange over election-year polling offers thoughts for the rest of us,REAL,FAKE
Why Clinton camp is releasing personal server 5 months after e-mail flap emerged,REAL,FAKE
How Planned Parenthood could shut down the government,REAL,FAKE
Police shooting of Antonio Zambrano-Montes in Washington state could be the next Ferguson,REAL,FAKE
Will the Comey bombshell really shake up the 2016 race?,REAL,FAKE
"Senior Clinton aide maintained top secret clearance amid email probe, letters show",REAL,FAKE
Russian Passenger Plane Crashes In Sinai With 224 Aboard,REAL,FAKE
Clinton in the final stretch: winning over anti-Trump contingent may be best play,REAL,FAKE
"Senate Leaders Announce Deal On Human Trafficking Bill, Clearing Path For Loretta Lynch Vote",REAL,FAKE
What Pentagon would gain from Bowe Bergdahl desertion charge (+video),REAL,FAKE
You Won’t Believe What This Congressman is Planning To Do If Trump Loses (VIDEO),FAKE,REAL
4 Things The New Hampshire Primary Will Tell Us,REAL,FAKE
How to Tell Debt Facts From Political Hype,REAL,FAKE
Why Hillary Clinton was told not to be a trial lawyer: she didn't have a wife at home,REAL,FAKE
New Antarctic Expedition Finds 2-Million-Year-Old Microbes,REAL,FAKE
"If Guns Make Us Safer, Why Not Let Them Into the U.S. Capitol?",REAL,FAKE
Boston bombing trial plea deal fails,REAL,FAKE
#NeverTrump Goes Down in Flames in Final Attempt to Stop The Donald,REAL,FAKE
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,REAL,FAKE
How right was Romney?,REAL,FAKE
Poll: Hillary Clinton ahead in 5 potential match-ups - Politics.com,REAL,FAKE
Republicans Very Troubled By Clinton Donors See No Conflict With Their Own Dark Money,REAL,FAKE
Fox News and the Duggars reach a disgusting new low: The twisted persecution complex in last night’s insane interview,REAL,FAKE
"U.S. economy adds 215,000 jobs in March, jobless rate ticks up to 5 percent",REAL,FAKE
The no-transparency election,REAL,FAKE
"Colin Quinn on race, comedy and political correctness: “People should stop lying and pretending there’s a racial dialogue”",REAL,FAKE
Senate Blocks Bill To End Government Collection Of Phone Records,REAL,FAKE
"White House report offers more on NSA spying on Americans' calls, with Patriot Act set to expire",REAL,FAKE
Biden previews battle against Clinton,REAL,FAKE
Pope brings message of brotherly love to Philadelphia,REAL,FAKE
"On Midterm Trail, Hillary Clinton Tests Themes for Possible 2016 Run",REAL,FAKE
How Congress is giving new life (and scope) to 'brinkmanship',REAL,FAKE
Would Earth Day’s creator have celebrated this Earth Day?,REAL,FAKE
"""America has a simple ideology"": how one of Russia's top US experts explains America",REAL,FAKE
"Trump: I'll Only Lose With 'Cheating,' Asks Supporters To Watch Polling Places",REAL,FAKE
Mavs Fans Got Mad At Mark Cuban For Bashing Trump. His Response Is Perfect,FAKE,REAL
DNC Head Leaked 2nd Debate Question to Hillary,FAKE,REAL
"Cleveland police are out of control, say the feds. Now they're making a deal to change.",REAL,FAKE
U.S. student performance slips on national test,REAL,FAKE
Carly’s momentum keeps growing,REAL,FAKE
Tom Cotton calls for ‘global military dominance’ in maiden Senate speech,REAL,FAKE
Trump says he’d be ‘neutral’ with Israelis and Palestinians,FAKE,REAL
"Cleveland, Justice Department Reach Policing Deal",REAL,FAKE
WH Press Secretary Says Obama's Denial About Clinton Server Was 'Entirely Factual',FAKE,REAL
"Hillary supporters: We're excited, too, but also practical",REAL,FAKE
Black Trump Supporter: ‘We need somebody that loves America’,FAKE,REAL
Biden probably won’t beat Clinton. He should run anyway.,REAL,FAKE
Poll finds Ben Carson knocks Donald Trump from top spot nationally,REAL,FAKE
Inside the war on coal,REAL,FAKE
Is it 2016 already?,REAL,FAKE
"Millennials Just Aren't That Into Hillary Clinton, and it Could Cost Her the Election",REAL,FAKE
Texas counts down the hours until new Open Carry law takes effect,REAL,FAKE
"Is Facebook to blame for making us more polarized? No, we are. (+video)",REAL,FAKE
VA secretary asks Iraq War veteran: 'What have you done?',REAL,FAKE
Trump’s starting to panic: Corey Lewandowsi fired as campaign manager amid huge staff shakeup,REAL,FAKE
Dem convention speeches Day 4: 's Reality Check Team vets the claims,REAL,FAKE
How Millennial voters see this election,REAL,FAKE
Charles Koch Pines For More Influence In Republican Presidential Primary,REAL,FAKE
Clinton policy on Syria would lead to WW III: Trump,FAKE,REAL
The controversial test that's poised to replace the Pap smear,REAL,FAKE
"For Carly Fiorina, money hasn't yet followed the hype",REAL,FAKE
"Fiery Republican race heads to S.C., known for dirty tricks and brawls",REAL,FAKE
"For the Record: Iowa, why can't we quit you?",REAL,FAKE
"Protesters try to block access to Trump rally in Arizona, ahead of big primary in border state",REAL,FAKE
The College Loan Bombshell Hidden in the Budget,REAL,FAKE
"As Always, U.S. Adores a Good Sex Scandal",REAL,FAKE
Police Arrest Suspect In Charleston Church Shooting,REAL,FAKE
Fighting ISIS will be a long war,REAL,FAKE
Pope Francis at 9/11 memorial: 'We can never forget them',REAL,FAKE
Trump has lit a fire. Can it be contained?,REAL,FAKE
Rout has Ukraine pleading for peacekeepers,REAL,FAKE
Life Among the Berned,REAL,FAKE
Hillary’s cash flow issue,REAL,FAKE
"ObamaCare has cancer. And if it’s not treated quickly and aggressively, it will die",REAL,FAKE
Pope Francis implores Congress to accept immigrants as their own,REAL,FAKE
Planned Parenthood’s lobbying effort; pay raises for federal workers; and the future Fed rates,REAL,FAKE
"Kasich tells Indiana voters to support him, despite pledge not to campaign",REAL,FAKE
Live from New Hampshire: They’re all here,REAL,FAKE
The right turns on Paul Ryan: Yesterday’s conservative savior is today’s moderate wimp,REAL,FAKE
NOT KIDDING: Colleges Give Students “Safe Spaces” To Cry Over Trump Win…Threaten Students Over Pro-Trump “Chalkings”,FAKE,REAL
Possible suicide vest found in Paris suburb,REAL,FAKE
President-elect Donald Trump eyes Ovala Office with plans to erase Barack Obama’s achievements,FAKE,REAL
"Defense Bill Would Put 100,000 Untraceable Guns On Streets",REAL,FAKE
Plouffe to Clinton: Stop micromanaging,REAL,FAKE
State Department will not release 22 'top secret' Clinton emails,REAL,FAKE
Erdogan Checks in with Obama Before Bombing Syria,FAKE,REAL
370 Economists Sign Letter Urging America Not To Vote For Donald Trump,FAKE,REAL
"Awesome Video Shows The REAL Donald Trump, Presidential Candidate",FAKE,REAL
"Critics on Islam: Time to Face Facts, Mr. President",REAL,FAKE
Why The Obamacare Doomsday Cult Can't Admit It's Wrong,REAL,FAKE
"2 killed, 8 terror suspects held in France terror raid",REAL,FAKE
Scientists Discover Microorganisms That Eat CO₂,REAL,FAKE
Jimmy Carter offers help for Russia’s bombing campaign in Syria,REAL,FAKE
Scientists Warn of Moon Cracking Due to Secret Drilling,FAKE,REAL
Trump campaign woes intensify amid questions over Melania's visa – as it happened,REAL,FAKE
"Why now, John Kasich?",REAL,FAKE
Trump Melts Down And Accuses The US Postal Service Of Stealing The Election For Clinton,FAKE,REAL
The End of the Road for John Kasich,REAL,FAKE
Yosemite free-climbers reach top of El Capitan,REAL,FAKE
Trump calls for charges against Clinton after FBI interview in email investigation,REAL,FAKE
"The plight of the bitter nerd: Why so many awkward, shy guys end up hating feminism",REAL,FAKE
Taliban claims responsibility for fatal attack on Americans in Kabul,REAL,FAKE
Rudy Giuliani's fall from America's Mayor,REAL,FAKE
"Donald Trump to leave America for a younger, sexier country",FAKE,REAL
New Research Shows Oceans Absorb More Heat Than Expected,REAL,FAKE
5 takeaways from New Hampshire,REAL,FAKE
"High school, middle school kids now use more e-cigs than tobacco: CDC",REAL,FAKE
Kasich bows out. Did he do 'the right thing?',REAL,FAKE
NY police investigate possible sighting of escaped prisoners,REAL,FAKE
Scientists Discover Plant That Absorbs Toxic Metals,REAL,FAKE
"India is building millions of toilets, but that’s the easy part",REAL,FAKE
"Donald Trump, a fallen soldier, and the myth of game-changing moments",REAL,FAKE
The Trump effect: Jack in the box and Obama's change,FAKE,REAL
Here's How Many People In Each State May Not Be Able To Afford Insurance If The Supreme Court Rules Against Obamacare,REAL,FAKE
AP Interview: Santorum Undecided About 2016 Bid,REAL,FAKE
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",REAL,FAKE
"Parsing Biden's words: If Hillary runs, he won't - Politics.com",REAL,FAKE
What to watch in Tuesday's primaries,REAL,FAKE
Trump Reveals American Muslim Solution,FAKE,REAL
"Flint, Michigan: Neglected because city is black, poor?",REAL,FAKE
The myth of the ‘anchor baby’ deportation defense,REAL,FAKE
